FIPS,Name,Income
6001,Alameda,"92,574"
6003,Alpine,"64,688"
6005,Amador,"61,198"
6007,Butte,"48,443"
6009,Calaveras,"58,151"
6011,Colusa,"56,704"
6013,Contra Costa,"93,712"
6015,Del Norte,"45,258"
6017,El Dorado,"80,582"
6019,Fresno,"51,261"
6021,Glenn,"47,395"
6023,Humboldt,"45,528"
6025,Imperial,"45,834"
6027,Inyo,"52,874"
6029,Kern,"52,479"
6031,Kings,"53,865"
6033,Lake,"42,475"
6035,Lassen,"56,362"
6037,Los Angeles,"64,251"
6039,Madera,"52,884"
6041,Marin,"110,217"
6043,Mariposa,"51,199"
6045,Mendocino,"49,233"
6047,Merced,"50,129"
6049,Modoc,"45,149"
6051,Mono,"63,018"
6053,Monterey,"66,676"
6055,Napa,"84,753"
6057,Nevada,"63,240"
6059,Orange,"85,398"
6061,Placer,"84,357"
6063,Plumas,"53,270"
6065,Riverside,"63,948"
6067,Sacramento,"63,902"
6069,San Benito,"81,977"
6071,San Bernardino,"60,164"
6073,San Diego,"74,855"
6075,San Francisco,"104,552"
6077,San Joaquin,"61,145"
6079,San Luis Obispo,"70,699"
6081,San Mateo,"113,776"
6083,Santa Barbara,"71,657"
6085,Santa Clara,"116,178"
6087,Santa Cruz,"78,041"
6089,Shasta,"50,905"
6091,Sierra,"48,125"
6093,Siskiyou,"44,200"
6095,Solano,"77,609"
6097,Sonoma,"76,753"
6099,Stanislaus,"57,387"
6101,Sutter,"56,955"
6103,Tehama,"42,899"
6105,Trinity,"38,497"
6107,Tulare,"47,518"
6109,Tuolumne,"56,493"
6111,Ventura,"84,017"
6113,Yolo,"65,923"
6115,Yuba,"52,624"